Time,Text
2022-11-18 23:44:03+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:43:44+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:43:27+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:43:11+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:43:02+00:00,b'RT @JeffreyGuterman: Tinubu submitted forged documents and committed perjury on his INEC EC9. https://t.co/iQFV5YULxV'
2022-11-18 23:41:45+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:41:43+00:00,"b'RT @Waspapping_: Bola Ahmed Tinubu will be coming to Kano on the 20th of this month. My Kano people please don\xe2\x80\x99t dull yourself, make sure y\xe2\x80\xa6'"
2022-11-18 23:41:23+00:00,b'RT @Naija_Activist: Bola Ahmed Tinubu is a female according to the document released by Chicago Southwest college. Are you thinking what I\xe2\x80\x99\xe2\x80\xa6'
2022-11-18 23:41:05+00:00,"b'RT @FirstObidient: If at this point you\xe2\x80\x99re still package Bola Ahmed Tinubu and the APC for us and you\xe2\x80\x99re processing your japa visa, I pray\xe2\x80\xa6'"
2022-11-18 23:41:04+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:40:27+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:39:29+00:00,"b'RT @FirstObidient: If at this point you\xe2\x80\x99re still package Bola Ahmed Tinubu and the APC for us and you\xe2\x80\x99re processing your japa visa, I pray\xe2\x80\xa6'"
2022-11-18 23:39:26+00:00,b'RT @ogkuku2: Rare footage of Bola Ahmed Tinubu in a Vick\xe2\x80\x99s Baba blue commercial aired on TVC. A must-watch for every Nigerian of voting age\xe2\x80\xa6'
2022-11-18 23:39:22+00:00,b'RT @legendkomedian: Bola Ahmed Tinubu followers are the foes of this country..\nThey are fanatical in their approach and radically subjectiv\xe2\x80\xa6'
2022-11-18 23:38:52+00:00,"b'RT @AkwariCharles: If you know any of Bola Ahmed Tinubu\xe2\x80\x99s classmate- primary, secondary or university I have 3 million naira for him/ her.'"
2022-11-18 23:38:49+00:00,b'RT @legendkomedian: Bola Ahmed Tinubu followers are the foes of this country..\nThey are fanatical in their approach and radically subjectiv\xe2\x80\xa6'
2022-11-18 23:38:38+00:00,"b'RT @DavidHundeyin: 1: The gender of the ""Bola A. Tinubu"" who was admitted into @ChicagoState\n\n2: The D.O.B. of the same ""Bola A. Tinubu""\n\n3\xe2\x80\xa6'"
2022-11-18 23:38:35+00:00,"b'@horlaide By the way, have you seen the latest controversies about Tinubu?\n\nAbout the alleged fake certificate subm\xe2\x80\xa6 https://t.co/AGKzbjk9cV'"
2022-11-18 23:38:33+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:38:31+00:00,"b'Here comes the Asiwaju of Yoruba Land, the Jagaban of Borgu, Borno Empire, Emilokan of Nigeria, Dodo Mayana of Afri\xe2\x80\xa6 https://t.co/GcIZkAomMv'"
2022-11-18 23:38:02+00:00,"b'Again, Kashim Shettima is the one contesting for the Office of The President of Nigeria through Bola Ahmed Tinubu.'"
2022-11-18 23:37:52+00:00,"b'RT @DavidHundeyin: 1: The gender of the ""Bola A. Tinubu"" who was admitted into @ChicagoState\n\n2: The D.O.B. of the same ""Bola A. Tinubu""\n\n3\xe2\x80\xa6'"
2022-11-18 23:37:25+00:00,"b'RT @Hope_Uzodimma1: Ahead of the 2023 General Election, yesterday, I was joined by my brother, Governor David Nwaeze Umahi of Ebonyi State\xe2\x80\xa6'"
