Time,Text
2022-11-19 00:33:01+00:00,"b""RT @Ucijomanta: Restructuring,\nRule of Law,\nTrue Federalism\nAnd a brand new Nigeria.....\nSai ATIKU!! @atiku\nWe don't need APC, please Vote\xe2\x80\xa6"""
2022-11-19 00:26:21+00:00,b'RT @Capt_Aliyu: Buhari will go down as the worse president in the history of Nigeria..... Not even GEJ is this clueless. How can a country\xe2\x80\xa6'
2022-11-19 00:18:57+00:00,"b'RT @Dec_Uche: Atiku Abubakar is 360 degrees ahead of other presidential contestants in all ramifications of governance, Business, policy-ma\xe2\x80\xa6'"
2022-11-19 00:16:53+00:00,"b'RT @Tony_Ogbuagu: If there is anything you will miss, don\xe2\x80\x99t miss this townhall series with Alhaji Atiku Abubakar and Gov. Ifeanyi Okowa on\xe2\x80\xa6'"
2022-11-19 00:16:24+00:00,"b'RT @cousinray_: BREAKING NEWS!! \nMFN Coalition CONDEMNs ATIKU ABUBAKAR, revealing what they identified as a dangerous pattern of  deceit da\xe2\x80\xa6'"
2022-11-19 00:13:58+00:00,b'@fasasiAkeem7 @AhmedAdamu @atiku We are looking for effective leadership and the only candidate with that capacity\xe2\x80\xa6 https://t.co/C8iXKowz1r'
2022-11-19 00:12:18+00:00,b'RT @Abiola_Trends: I Married My Destiny Helper \xe2\x80\x93 Man Celebrates Wife Who Often Settles Part Of Their Bills\n\nA South African man identified\xe2\x80\xa6'
2022-11-19 00:06:07+00:00,"b'RT @Amb_Balemoh: I passed countless towns, villages and Local Government areas today on my way to my constituency in Katsina State. Every r\xe2\x80\xa6'"
2022-11-19 00:05:45+00:00,"b'RT @IAOkowa: Last night, alongside our Presidential Candidate, Alhaji @Atiku Abubakar, we had a great meeting with our former President, H.\xe2\x80\xa6'"
2022-11-19 00:04:11+00:00,"b'RT @EverestOnyek: Atiku Abubakar would have been preferable, but how can I choose a turkey when I have an eagle!.\n\nPeter Gregory Obi (GCFR)\xe2\x80\xa6'"
2022-11-19 00:02:32+00:00,b'RT @fort_lamy: One of Atiku Abubakar\xe2\x80\x99s policy agenda would be to improve and strengthen the education system and equip students with all ne\xe2\x80\xa6'
2022-11-18 23:56:21+00:00,"b'RT @Imudia_se2: BREAKING:\n\nGEJ and the PDP candidate, H.E., Atiku Abubakar and his running mate, Govr Ifeanyi Okowa after their close door\xe2\x80\xa6'"
2022-11-18 23:55:27+00:00,"b'RT @FrancisAdeboye: Each time I look at the 2023 presidential election, it\xe2\x80\x99s either PDP wins or Atiku Abubakar gets declared winner. I don\xe2\x80\x99\xe2\x80\xa6'"
2022-11-18 23:55:13+00:00,"b'A former National Chairman of the All Progressives Congress (APC), Adams Oshiomhole, on Friday said the alleged mis\xe2\x80\xa6 https://t.co/xHPFqFCWCg'"
2022-11-18 23:55:12+00:00,"b'RT @IfedolapoOsun: Yesterday, There was Another Round of a private Meeting Between Former President Goodluck Ebele Jonathan, PDP Presidenti\xe2\x80\xa6'"
