Time,Text
2022-11-18 22:50:30+00:00,b'RT @Sports_Doctor2: Peter Obi as Governor of Anambra State invited Wike as Minister of Education to witness and commission the renovation o\xe2\x80\xa6'
2022-11-18 22:50:26+00:00,b'RT @jeffphilips1: Peter Obi is planning to come and render all these investments useless with his lifeline for Thailand rice importers....N\xe2\x80\xa6'
2022-11-18 22:50:20+00:00,b'RT @NnamdiChife: Peter Obi will win the FCT.'
2022-11-18 22:50:18+00:00,"b'RT @BishopPOEvang: We had a blast time today, sensitization for Grassroot in Jos Plateau state. We had about 4,000 people in attendance and\xe2\x80\xa6'"
2022-11-18 22:50:18+00:00,"b""RT @AishaYesufu: When Peter Obi @PeterObi speaks I don't hold my breath. I know he is capable. Beyond his capacity is the fact that he is w\xe2\x80\xa6"""
2022-11-18 22:50:18+00:00,"b'RT @Nnaba_Frank: Charles Soludo this is Nando to Achala/Awkuzu Junction also linking Igbariam, constructed by Peter Obi @PeterObi almost 10\xe2\x80\xa6'"
2022-11-18 22:50:17+00:00,b'RT @VictorIsrael_: Gov Seyi Makinde gave Peter Obi a 10000 capacity stadium to host the Obidatti rally in Ibadan Oyo state. Tinubu boys are\xe2\x80\xa6'
2022-11-18 22:50:15+00:00,b'RT @Shehusky: Tinubu the heroin bagman must not smell Aso Rock. This is the most crucial task in 2023. Vote for Peter Obi the man who has w\xe2\x80\xa6'
2022-11-18 22:50:12+00:00,"b""RT @urchilla01: Peter Obi should never stop saying that he didn't steal state funds as a governor. He should keep screaming it &amp; reminding\xe2\x80\xa6"""
2022-11-18 22:50:12+00:00,"b'RT @VictorIsrael_: Obidients in Oyo state, are you ready for Peter Obi and Yusuf Datti?\n\nThe Obidatti campaign train will make a stop at th\xe2\x80\xa6'"
2022-11-18 22:50:09+00:00,"b""RT @urchilla01: Peter Obi should never stop saying that he didn't steal state funds as a governor. He should keep screaming it &amp; reminding\xe2\x80\xa6"""
2022-11-18 22:50:09+00:00,"b""RT @AishaYesufu: When Peter Obi @PeterObi speaks I don't hold my breath. I know he is capable. Beyond his capacity is the fact that he is w\xe2\x80\xa6"""
2022-11-18 22:50:08+00:00,b'RT @praiseAlabi12: Peter obi is a very simple man \n\nDavid hundeyin Adamu garba'
2022-11-18 22:50:07+00:00,"b""RT @ifeanyiakorjuru: Which Atiku?\nAtiku will be disgraced on election day.  Peter Obi is the next president of Nigeria.  It's not a close e\xe2\x80\xa6"""
2022-11-18 22:50:06+00:00,"b'RT @gerrycool007: I Stood close to an hour today on an ATM queue, when it finally got to my turn to withdraw, I realize I was holding my Vo\xe2\x80\xa6'"
2022-11-18 22:50:06+00:00,"b'RT @samomatseye: *Peter Obi went to America to raise money for his campaign, he even sold tickets as a motivational speaker, coming back ho\xe2\x80\xa6'"
